institution,asset_type,transfer_value,destination,accounting_treatment,source_id,status,notes
aggregate_banking_sector,pension_fund_asset_title_transfer_recorded_2011,3263.1,State,non_tax_revenue_part_recorded_in_2011,DGO_CGE_2011,partial_aggregate_extract,CGE 2011 reports this as part of asset-title transfer recorded in 2011; not final bank-level composition
Barclays Bank PLC - Sucursal em Portugal,final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"BANIF - Banco Internacional do Funchal, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Bilbao Vizcaya Argentaria (Portugal), S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco BPI, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Português de Investimento, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
Banco do Brasil AG - Sucursal em Portugal,final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Espírito Santo, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Espírito Santo de Investimento, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Espírito Santo dos Açores, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Credibom, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Popular Portugal, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Santander Totta, S. A. - fundo de pensões do ex-Crédito Predial Português e do ex-Banco Santander Portugal",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"BNP Paribas, S. A. - Sucursal em Portugal",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
Caixa Económica Montepio Geral,final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Comercial Português, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco de Investimento Imobiliário, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"Banco Activobank (Portugal), S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
"UNICRE - Instituição Financeira de Crédito, S. A.",final_assets_transferred,,State,DL127_article_5_transfer,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex; final transfer value and composition not in registered sources
