record_id,year,institution,channel,value,unit,price_basis,accounting_basis,bank_effect,public_sector_effect,risk_holder_after_transfer,source_ids,status,notes
BANK_RISK_AGG_BALANCE_RELIEF,2011,aggregate_banking_sector,balance_sheet_relief,,EUR_million,current_prices,legal_actuarial_valuation,covered pension responsibilities extinguished after transfer,covered pensions assumed by Social Security and the State,public_sector_for_covered_pensions,DR_DL127_2011,legal_channel_identified,Legal extinguishment and assumption established but bank-level liability values are missing
BANK_RISK_AGG_ASSET_SURRENDER_2011,2011,aggregate_banking_sector,liquidity_effect,3263.1,EUR_million,current_prices,budgetary_public_accounts,pension-fund assets transferred to the State and reduced fund asset control,State recorded 2011 non-tax revenue part of asset-title transfer,State,DR_DL127_2011;DGO_CGE_2011,partial_aggregate_extract,Partial public-account amount is not final bank-level asset composition or total definitive transfer
BANK_RISK_AGG_ACTUARIAL,2012,aggregate_banking_sector,actuarial_risk_transfer,,EUR_million,current_prices,legal_obligation,covered longevity and payment risk extinguished for banks while updates and complements remain retained,State and Social Security carry covered pension-payment risk with State financing rule,shared_public_covered_banks_retained_updates,DR_DL127_2011,legal_channel_identified,No pension cash-flow or demographic schedule is registered
BANK_RISK_AGG_RETAINED,2012,aggregate_banking_sector,retained_bank_responsibilities,,EUR_million,current_prices,legal_obligation,pension updates SAMS contributions specified survivor and death benefits and complements retained by institutions,no public assumption for retained article 4 components,banks,DR_DL127_2011,legal_channel_identified,Legal retained list identified but values are missing
BANK_RISK_AGG_FISCAL_ESA95,2011,aggregate_banking_sector,fiscal_accounting_effect,5993.2,EUR_million,current_prices,ESA-95_national_accounts,no bank-side cash benefit demonstrated by the accounting classification,headline deficit-improving revenue treatment under ESA-95,general_government_accounting,EC_EXPOST_PAEF;DGO_CGE_2011,partial_aggregate_extract,Existing registered claim reports the transfer as 3.5 percent of GDP; this is not a subsidy measure
BANK_RISK_AGG_FISCAL_ESA2010,2011,aggregate_banking_sector,fiscal_accounting_effect,,EUR_million,current_prices,ESA-2010_national_accounts,no bank-side cash benefit demonstrated by the accounting classification,financial transaction with no direct deficit impact,general_government_accounting,EC_EXPOST_PAEF,accounting_treatment_to_replicate,Accounting treatment is registered as a claim to replicate
BANK_RISK_AGG_NET_SUBSIDY,2011,aggregate_banking_sector,demonstrable_net_subsidy,,EUR_million,current_prices,economic_valuation,not demonstrated,not classified,unclassified_pending_values,DR_DL127_2011;DGO_CGE_2011;EC_EXPOST_PAEF,blocked_no_subsidy_classification,Requires bank-level extinguished liability value surrendered asset value retained liabilities and sensitivity before any subsidy classification
BANK_RISK_INST_01,2011,Barclays Bank PLC - Sucursal em Portugal,bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_02,2011,"BANIF - Banco Internacional do Funchal, S. A.",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_03,2011,"Banco Bilbao Vizcaya Argentaria (Portugal), S. A.",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_04,2011,"Banco BPI, S. A.",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_05,2011,"Banco Português de Investimento, S. A.",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_06,2011,Banco do Brasil AG - Sucursal em Portugal,bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_07,2011,"Banco Espírito Santo, S. A.",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_08,2011,"Banco Espírito Santo de Investimento, S. A.",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_09,2011,"Banco Espírito Santo dos Açores, S. A.",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_10,2011,"Banco Credibom, S. A.",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_11,2011,"Banco Popular Portugal, S. A.",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_12,2011,"Banco Santander Totta, S. A. - fundo de pensões do ex-Crédito Predial Português e do ex-Banco Santander Portugal",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_13,2011,"BNP Paribas, S. A. - Sucursal em Portugal",bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
BANK_RISK_INST_14,2011,Caixa Económica Montepio Geral,bank_level_net_position,,EUR_million,current_prices,economic_valuation,covered liabilities possibly extinguished and assets surrendered; net unknown,covered responsibilities assumed through State-financed Social Security channel,unclassified_pending_values,DR_DL127_2011,blocked_missing_bank_level_values,Institution listed in DL127 annex but final liability and surrendered-asset values are not registered
