record_id,year,case_id,measure,value,unit,receiving_institution,payment_institution,population,perimeter_inclusion,accounting_basis,source_ids,status,notes
BPN_2012_ACTIVE_WORKERS_SCOPE,2012,bpn_group_dl88,active_worker_rgss_integration,,not_applicable,RGSS,,workers_admitted_until_2009_03_02,bpn_separate_case,legal_scope,DR_DL88_2012,legal_scope_registered,DL88 integrates active BPN-group workers into the general Social Security regime for sickness invalidity death and related events
BPN_2012_CURRENT_PENSIONS_SCOPE,2012,bpn_group_dl88,cga_responsibility_current_pensions,,not_applicable,CGA,ISS_CNP,reformados_and_pensionistas_with_pensions_at_entry_into_force,bpn_separate_case,legal_scope,DR_DL88_2012,legal_scope_registered,DL88 article 6 assigns CGA responsibility for retirement and survivor pensions already in payment for covered BPN-group retirees and pensioners
BPN_2012_FUTURE_BENEFITS_SCOPE,2012,bpn_group_dl88,cga_responsibility_future_benefits,,not_applicable,CGA,ISS_CNP,covered_workers_with_prior_bpn_group_service,bpn_separate_case,legal_scope,DR_DL88_2012,legal_scope_registered,DL88 article 7 assigns CGA responsibility for future retirement survivor pensions and death grant within service-time limits
BPN_2012_ASSET_TRANSFER_CGA,2012,bpn_group_dl88,asset_transfer_to_cga,96.768004,EUR_million,CGA,,covered_bpn_group_responsibilities,bpn_separate_case,legal_transfer_value,DR_DL88_2012,official_legal_amount_extracted,DL88 article 9 requires the BPN pension fund manager to transfer EUR 96768004 to CGA in cash or Portuguese public debt securities at market value
BPN_2012_SAMS_ASSETS_RETURNED,2012,bpn_group_dl88,sams_assets_returned_to_entities,7.319430,EUR_million,BPN_group_entities,,sams_contribution_responsibilities_retained_by_entities,bpn_separate_case,legal_transfer_value,DR_DL88_2012,official_legal_amount_extracted,DL88 article 9 requires EUR 7319430 to be delivered to the entities for SAMS contribution responsibilities not transferred to CGA
BPN_2012_CGA_FINANCING_TO_SS,2012,bpn_group_dl88,cga_financing_to_ss_2012,0.1359,EUR_million,CGA,ISS_CNP,bpn_related_component_in_social_security_execution,bpn_separate_case,budgetary_public_accounts,TC_AEO_2013_SS_2012,official_account_extract,Tribunal de Contas identifies EUR 0.1359m from CGA for the BPN-related component in 2012 Social Security execution
BPN_2012_PENSIONERS_TC,2012,bpn_group_dl88,pensioners_2012,11,count,CGA,,retired_bpn_group_pensioners,bpn_separate_case,cga_accounts,TC_AEO_2013_SS_2012,official_account_extract,Tribunal de Contas CGA table reports 11 BPN aposentados reformados in 2012
BPN_2012_SURVIVORS_TC,2012,bpn_group_dl88,survivor_pensioners_2012,18,count,CGA,,survivor_pensioners,bpn_separate_case,cga_accounts,TC_AEO_2013_SS_2012,official_account_extract,Tribunal de Contas footnote reports 18 BPN survivor-pension beneficiaries in 2012
BPN_2012_PENSIONS_PAID_TC,2012,bpn_group_dl88,pensions_paid_by_cga_fund_2012,0.17927,EUR_million,CGA,,bpn_fund_pension_and_social_benefit_payments,bpn_separate_case,cga_accounts,TC_AEO_2013_SS_2012,official_account_extract,Tribunal de Contas CGA table reports BPN fund pensions paid of 179.27 thousand euros in 2012 normalized to EUR million
BPN_2012_MAIN_PANEL_BOUNDARY,2012,bpn_group_dl88,main_2011_panel_inclusion,,not_applicable,CGA,ISS_CNP,bpn_group_workers_retirees_and_pensioners,excluded_from_2011_dl127_panel,perimeter_classification,DR_DL88_2012;DR_DL127_2011;TC_AEO_2013_SS_2012,panel_boundary_registered,BPN is a 2012 DL88 case with CGA responsibility and should not enter the main 2011 DL127 private-bank transfer panel unless a broader perimeter is explicitly defined
