year,perimeter,unit,price_basis,accounting_basis,legal_worker_rate_total,legal_worker_liability,withheld_from_payroll,recorded_cga_worker_revenue,timing_adjustments,arrears_corrections,base_definition_adjustment,perimeter_adjustment,unexplained_remittance_gap,source_ids,legal_rate_basis,missing_inputs,claim_permitted,status,notes
1977,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DR_LEI64_1977;DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1978,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1979,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1980,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1981,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1982,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1983,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1984,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1985,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1986,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1987,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1988,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1989,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
