year,mechanism,flow_component,worker_count,contribution_base,worker_rate,employer_rate,employee_contributions,employer_contributions,total_contributions,unit,price_basis,accounting_basis,excluded_effects,source_ids,status,missing_inputs,claim_permitted,notes
2006,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Lei 60/2005 establishes the closure mechanism but the contribution flow remains blocked until cohort payroll and RGSS rate inputs are extracted
2007,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2008,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2009,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2010,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2011,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2012,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2013,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2014,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2015,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2016,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2017,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2018,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2019,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2020,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2021,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2022,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2023,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2024,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
2025,post_2006_cga_closure_new_entrants_to_rgss,mechanical_reallocation,,,,,,,,EUR_million,current_prices,cash_contribution_flow,demographic_change;wage_growth;general_labour_market_effects,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,no,Contribution flow remains blocked until post-2006 public-worker cohort payroll and RGSS rate inputs are extracted
