year,cohort,lower,central,upper,unit,source_ids,status,notes
2006,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Lei 60/2005 establishes CGA closure to new subscribers from 2006 but registered sources do not provide new public-worker cohort counts
2007,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2008,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2009,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2010,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2011,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2012,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2013,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2014,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2015,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2016,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2017,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2018,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2019,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2020,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2021,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2022,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2023,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2024,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
2025,post_2006_public_worker_rgss_new_entrants,,,,workers,DR_LEI60_2005,blocked_missing_public_employment_payroll,Registered sources do not provide new public-worker cohort counts
