year,employee_contributions_lower,employee_contributions_central,employee_contributions_upper,employer_contributions_lower,employer_contributions_central,employer_contributions_upper,aggregate_rgss_contributions,unit,aggregate_unit,source_ids,observation_type,estimation_method,pension_related_basis,uncertainty_basis,aggregate_cap_status,status,missing_inputs,claim_permitted,notes
2006,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,missing_2006_2010_public_employment_detail;missing_wage_base_assumptions,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2007,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,missing_2006_2010_public_employment_detail;missing_wage_base_assumptions,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2008,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,missing_2006_2010_public_employment_detail;missing_wage_base_assumptions,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2009,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,missing_2006_2010_public_employment_detail;missing_wage_base_assumptions,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2010,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,missing_2006_2010_public_employment_detail;missing_wage_base_assumptions,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2011,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2012,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2013,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2014,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2015,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2016,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2017,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2018,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2019,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
2020,,,,,,,,EUR_million,EUR_million,DR_LEI60_2005;DGAEP_SIEP_ARCHIVE;IGFSS_CSS_ARCHIVE,mechanical_reallocation,blocked_source_gap,blocked_not_decomposed,post_2011_public_employment_series_requires_new_entrant_and_wage_base_mapping,aggregate_cap_not_reconstructed,blocked_missing_public_employment_payroll,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate;aggregate_rgss_contribution_revenue,no,Requires post-2006 public-worker RGSS cohort count contribution base applicable RGSS rates and aggregate RGSS contribution revenue
