institution,source_id,status,notes
Barclays Bank PLC - Sucursal em Portugal,DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"BANIF - Banco Internacional do Funchal, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Bilbao Vizcaya Argentaria (Portugal), S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco BPI, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Português de Investimento, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
Banco do Brasil AG - Sucursal em Portugal,DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Espírito Santo, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Espírito Santo de Investimento, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Espírito Santo dos Açores, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Credibom, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Popular Portugal, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Santander Totta, S. A. - fundo ex-Crédito Predial Português / ex-Banco Santander Portugal",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"BNP Paribas, S. A. - Sucursal em Portugal",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
Caixa Económica Montepio Geral,DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Comercial Português, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco de Investimento Imobiliário, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"Banco Activobank (Portugal), S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
"UNICRE - Instituição Financeira de Crédito, S. A.",DR_DL127_2011,seed_from_annex,Verify historical name and pension-fund mapping during acquisition.
