claim_id,topic,claim_text,claim_type,source_id,status,falsification_condition,manuscript_section
BANK_LEGAL_001,bank_pensions,Social Security assumed specified pensions in payment at 31 Dec 2011.,legal_fact,DR_DL127_2011,source_registered,Primary legislation does not support the stated scope.,8
BANK_LEGAL_002,bank_pensions,The State is responsible for financing the transferred pensions through a specific transfer to Social Security.,legal_fact,DR_DL127_2011,source_registered,Primary legislation assigns financing elsewhere.,8
BANK_LEGAL_003,bank_pensions,The statutory actuarial discount rate used for the transferred liability valuation was 4%.,legal_fact,DR_DL127_2011,source_registered,Primary legislation specifies a different rate.,8
BANK_LEGAL_004,bank_pensions,DL127/2011 allowed up to 50% of transferred assets to be Portuguese public debt securities valued at market prices.,legal_fact,DR_DL127_2011,source_registered,Primary legislation specifies a different asset-composition constraint.,8
BANK_LEGAL_005,bank_pensions,DL127/2011 required at least 55% of provisional liabilities to be transferred by 31 December 2011.,legal_fact,DR_DL127_2011,source_registered,Primary legislation specifies a different initial transfer schedule.,8
BANK_LEGAL_006,bank_pensions,Completion of the DL127/2011 transfer definitively and irreversibly extinguished the covered bank responsibilities assumed by Social Security and the State.,legal_fact,DR_DL127_2011,source_registered,Primary legislation does not extinguish the covered responsibilities.,8
BANK_FISCAL_001,bank_pensions,The 2011 transfer improved the ESA-95 headline deficit by about 3.5% of GDP.,published_quantitative_claim,EC_EXPOST_PAEF,to_replicate,Official ESA-95 accounts cannot reproduce the effect within a preregistered tolerance.,8
BANK_FISCAL_002,bank_pensions,Under ESA-2010 the transfer is a financial transaction with no direct deficit impact.,accounting_treatment,EC_EXPOST_PAEF,to_replicate,ESA-2010 national accounts record a direct deficit effect.,8
BANK_COST_001,bank_pensions,Transferred bank pensions added roughly EUR 0.5bn of pension expenditure in 2012.,published_quantitative_claim,EC_EXPOST_PAEF,to_replicate,Official Social Security accounts yield a materially different figure after perimeter reconciliation.,8
CGA_CGE_2011_001,cga_financing,CGE 2011 reports CGA global balance of EUR 186.2m including a EUR 476.7m PT pension-fund effect and EUR -290.6m excluding that effect.,published_account_extract,DGO_CGE_2011,extracted_from_primary_account,CGE 2011 table 82 or source text reports different CGA balance values.,6
BANK_AL_2011_001,bank_pensions,CGE 2011 reports the transfer of banking pension funds at EUR 5993.2m or 3.5% of GDP.,published_account_extract,DGO_CGE_2011,extracted_from_primary_account,CGE 2011 extraordinary-measures table or narrative reports a different amount.,8
BANK_AL_2011_002,bank_pensions,CGE 2011 reports EUR 3263.1m as the 2011 part of the credit-institution pension-fund asset title transfer recorded as non-tax revenue.,published_account_extract,DGO_CGE_2011,extracted_from_primary_account,CGE 2011 revenue narrative reports a different amount or accounting treatment.,8
