concept_id,source_label,canonical_name,concept_class,definition,valid_from,valid_to,institutional_perimeter,accounting_basis,source_id,source_definition_status,sign_convention,internal_variable_names,material_flow_columns,ambiguous_label_guard,notes
CGA,Caixa Geral de Aposentações,cga,institution,Public-sector pension institution whose own accounts must be separated from RGSS and consolidated public-finance measures,1972,,CGA institutional accounts,legal/accounting,CGA_ORGANIC_2012,source_defined,not_applicable,cga,none,CGA must not be used as a synonym for general government,Closed to new subscribers from 2006 and closure effects must be modeled separately
RGSS,Regime Geral de Segurança Social,rgss,institution,General Social Security regime whose contribution rates cover multiple contingencies and are not automatically pension-only,1977,,Social Security institutional accounts,legal/cash,,working_definition_requires_source,not_applicable,rgss,none,RGSS must not be used as a pension-only benchmark without rate decomposition,Use decomposed pension-risk benchmarks for CGA comparisons
PREVIDENTIAL,sistema previdencial,previdential_system,institutional_perimeter,Contributory Social Security subsystem not identical to consolidated Social Security or general government,1977,,Social Security previdential subsystem,cash/accounting,,working_definition_requires_source,not_applicable,previdential_system,none,Previdential balance must state whether other subsystems and transfers are excluded,Perimeter must be declared for combined-balance calculations
STATE_TRANSFER,transferência do Orçamento do Estado,state_budget_transfer,flow,State Budget transfer to a pension institution that may be balancing specific extraordinary or formulaic,1977,,State to CGA or Social Security,budget/cash,,working_definition_requires_source,positive_inflow_to_recipient,state_budget_transfers;published_additional_state_transfer;state_specific_transfer,data/processed/cga_financing_ledger.csv:state_budget_transfers;data/processed/bank_transfer_long_run.csv:state_specific_transfer,Transfer must name payer recipient legal basis and consolidation perimeter,A transfer is not by itself evidence of legal non-compliance
OTHER_PUBLIC_TRANSFER,outras transferências públicas,other_public_transfer,flow,Public transfer other than the main State Budget transfer recorded in the receiving institutional accounts,1977,,Public sector to CGA or Social Security,budget/cash,,working_definition_requires_source,positive_inflow_to_recipient,other_public_transfers,data/processed/cga_financing_ledger.csv:other_public_transfers,Transfer must name payer recipient legal basis and consolidation perimeter,Keep separate from State Budget transfers unless the source aggregates them
EMPLOYEE_CONTRIBUTION,quota do subscritor,employee_contribution,flow,Worker-side contribution legally due withheld or received depending on measurement field,1977,,Worker to CGA or RGSS,legal/cash,CGA_ORGANIC_2012,source_defined,positive_revenue_when_received,employee_quotations;employee_contributions;legal_worker_liability;withheld_from_payroll;recorded_cga_worker_revenue,data/processed/cga_financing_ledger.csv:employee_quotations;data/processed/employee_remittance_audit.csv:legal_worker_liability;data/processed/employee_remittance_audit.csv:withheld_from_payroll;data/processed/employee_remittance_audit.csv:recorded_cga_worker_revenue;data/processed/bank_worker_rgss_contributions.csv:employee_contributions;data/processed/public_worker_rgss_contributions_2006_2025.csv:employee_contributions_lower;data/processed/public_worker_rgss_contributions_2006_2025.csv:employee_contributions_central;data/processed/public_worker_rgss_contributions_2006_2025.csv:employee_contributions_upper,Contribution must state legal due withheld or cash-received measurement,Do not merge legal liability payroll withholding and recorded receipt
EMPLOYER_CONTRIBUTION,contribuição da entidade empregadora,employer_contribution,flow,Employer-side contribution legally due or recorded as received by applicable employer class and period,1977,,Employer to CGA or RGSS,legal/cash,CGA_ORGANIC_2012,source_defined,positive_revenue_when_received,employer_contributions;legal_employer_rate_total;legal_due;recorded_cga_employer_revenue;economic_benchmark_due,data/processed/cga_financing_ledger.csv:employer_contributions;data/processed/employer_contribution_audit.csv:legal_due;data/processed/employer_contribution_audit.csv:recorded_cga_employer_revenue;data/processed/employer_contribution_audit.csv:economic_benchmark_due;data/processed/bank_worker_rgss_contributions.csv:employer_contributions;data/processed/public_worker_rgss_contributions_2006_2025.csv:employer_contributions_lower;data/processed/public_worker_rgss_contributions_2006_2025.csv:employer_contributions_central;data/processed/public_worker_rgss_contributions_2006_2025.csv:employer_contributions_upper,Contribution must state employer class and legal or economic benchmark basis,Legal gap and economic benchmark gap are distinct concepts
PENSION_EXPENDITURE,pensões pagas,pension_expenditure,flow,Pension benefit expenditure recorded by the paying institution for the stated population and period,1977,,CGA or Social Security institutional accounts,cash/accounting,,working_definition_requires_source,negative_expenditure_for_balance,pension_expenditure,data/processed/cga_financing_ledger.csv:pension_expenditure;data/processed/bank_transfer_long_run.csv:pension_expenditure,Expenditure must state beneficiary population and paying institution,Do not combine with liabilities or actuarial present values
OTHER_BENEFIT_EXPENSE,outras prestações,other_benefit_expense,flow,Non-pension benefit expenditure recorded by the institution,1977,,CGA or Social Security institutional accounts,cash/accounting,,working_definition_requires_source,negative_expenditure_for_balance,other_benefits,data/processed/cga_financing_ledger.csv:other_benefits,Benefit labels must state pension versus non-pension scope,Keep outside pension expenditure unless source aggregation requires disclosure
ADMINISTRATION_COST,despesas de administração,administration_cost,flow,Administrative operating cost of the pension institution or special regime ledger,1977,,CGA or Social Security institutional accounts,cash/accounting,,working_definition_requires_source,negative_expenditure_for_balance,administration;administrative_cost,data/processed/cga_financing_ledger.csv:administration;data/processed/bank_transfer_long_run.csv:administrative_cost,Administration costs must not be interpreted as benefit payments,Use separate cost bucket in identities
