source_id,access_status,redistribution_status,license_or_terms,retrieval_method,archival_reference,clean_room_instruction,repository_action,notes
DR_DL54_2009,acquired_public_download,permission_unclear_do_not_redistribute,Official legal text publicly accessible; source-specific redistribution terms not captured in repository,Download the registered issue PDF from source_registry download_url,source_registry sha256 3e7a869e6b53cff44ecac0c28500f3c310a4d021e31d1ff2e2d0b5744c8fe498,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite DR URL and hash rather than republish the issue PDF unless reuse terms are confirmed.
DR_DL1A_2011,acquired_public_download,permission_unclear_do_not_redistribute,Official legal text publicly accessible; source-specific redistribution terms not captured in repository,Download the registered issue PDF from source_registry download_url,source_registry sha256 657cae24b7a13822dfa30cd9de1749fe6dc11f5657f36e1c64d7922f7d00c5e8,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite DR URL and hash rather than republish the issue PDF unless reuse terms are confirmed.
DR_DL127_2011,registered_public_url,not_acquired_no_redistribution,Official legal text publicly accessible; no raw file is stored in repository,Open the registered DR detail page from source_registry download_url,no repository raw file; metadata-only source_registry citation,Use source_registry download_url and record retrieval date plus hash if a raw copy is acquired,metadata_only_until_acquired_and_terms_verified,Current clean-room route is direct DR retrieval rather than repository redistribution.
DR_DL88_2012,acquired_public_download,permission_unclear_do_not_redistribute,Official legal text publicly accessible; source-specific redistribution terms not captured in repository,Download the registered issue PDF from source_registry download_url,source_registry sha256 1522b2e48c6cd5ce7e67f2c0a1ba8b1bfa145ae5f5b6b01f17ffc9ec7bf453bb,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite DR URL and hash rather than republish the issue PDF unless reuse terms are confirmed.
DGO_CGE_2011,acquired_public_download,permission_unclear_do_not_redistribute,Official public account PDF publicly accessible; redistribution terms not captured in repository,Download the registered CGE PDF from source_registry download_url,source_registry sha256 9107dec044468006c1726dc9d7c66a6ffcc268d4792cba12277b81735b16ae1d,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the DGO PDF URL and provide deterministic extraction instructions.
EC_EXPOST_PAEF,acquired_public_download,allowed_with_attribution,European Commission reuse policy allows reuse with acknowledgement unless otherwise indicated,Download the official Commission PDF from source_registry download_url,source_registry sha256 dfe94b1586076b450770a78f73861b19176054e0f21e76abba9877cd8ad0e5a9,Use source_registry download_url and verify the source_registry sha256 before extraction,cite_source_retain_raw_if_no_document_specific_restriction,Document-level third-party material should still be checked before redistributing full PDF copies.
TC_AEO_2013_SS_2012,acquired_public_download,permission_unclear_do_not_redistribute,Official audit publicly accessible; source-specific redistribution terms not captured in repository,Download the registered Tribunal de Contas PDF from source_registry download_url,source_registry sha256 b0473672345b9b721074816c3724b33e72d57b3cb15da47dd1816814266e90d2,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the official URL and extraction hash rather than republish raw PDF unless terms are confirmed.
BDP_ANNUAL_REPORT_2012,acquired_public_download,allowed_with_attribution,Banco de Portugal copyright notice allows distribution or reproduction when accurate and source is cited,Download the official Banco de Portugal PDF from source_registry download_url,source_registry sha256 e8dd1c619e9cff727397879379658921da79827d2edea792e0d649303b901fea,Use source_registry download_url and verify the source_registry sha256 before extraction,cite_source_retain_raw_if_no_document_specific_restriction,Keep Banco de Portugal citation with any reused material and avoid implying official endorsement.
DR_LEI60_2005,registered_public_url,not_acquired_no_redistribution,Official legal text publicly accessible; no raw file is stored in repository,Open the registered DR detail page from source_registry download_url,no repository raw file; metadata-only source_registry citation,Use source_registry download_url and record retrieval date plus hash if a raw copy is acquired,metadata_only_until_acquired_and_terms_verified,Current clean-room route is direct DR retrieval rather than repository redistribution.
DR_EA_CONSOLIDATED,registered_public_url,not_acquired_no_redistribution,Consolidated legal text publicly accessible; no raw file is stored in repository,Open the registered DR consolidated-law page from source_registry download_url,no repository raw file; metadata-only source_registry citation,Use source_registry download_url and record retrieval date plus hash if a raw copy is acquired,metadata_only_until_acquired_and_terms_verified,Current clean-room route is direct DR retrieval rather than repository redistribution.
TC_ACORDAO_255_2020,acquired_public_download,permission_unclear_do_not_redistribute,Official judicial review publicly accessible; source-specific redistribution terms not captured in repository,Download or save the registered Tribunal Constitucional HTML from source_registry download_url,source_registry sha256 a725d048191d8fc1c35d660fb1519dbf06a99dbceda16c24f27c758e80d2a0b2,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite official page and hash rather than republish stored HTML unless reuse terms are confirmed.
TC_ACORDAO_362_2016,acquired_public_download,permission_unclear_do_not_redistribute,Official judicial review publicly accessible; source-specific redistribution terms not captured in repository,Download or save the registered Tribunal Constitucional HTML from source_registry download_url,source_registry sha256 12243736eec3d26b7f7cbed61a1849bd2327218580e1f7d26b4ab45718702211,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite official page and hash rather than republish stored HTML unless reuse terms are confirmed.
CGA_ORGANIC_2012,acquired_public_download,permission_unclear_do_not_redistribute,Official institutional legal page publicly accessible; source-specific redistribution terms not captured in repository,Download or save the registered CGA page from source_registry download_url,source_registry sha256 51e817fc1d6d339a4f63a78271425a93f019089b095e88f1957712d8c4e22524,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite official page and hash rather than republish stored HTML unless reuse terms are confirmed.
TC_PCGE_2024,registered_public_url,not_acquired_no_redistribution,Official DR publication publicly accessible; no raw file is stored in repository,Open the registered DR detail page from source_registry download_url,no repository raw file; metadata-only source_registry citation,Use source_registry download_url and record retrieval date plus hash if a raw copy is acquired,metadata_only_until_acquired_and_terms_verified,Current clean-room route is direct DR retrieval rather than repository redistribution.
DGO_CGE_ARCHIVE,retrieval_failed_public_url,not_acquired_no_redistribution,Official archive route registered but not acquired because retrieval failed in bounded pass,Retry official DGO archive URL from source_registry download_url,no repository raw file; acquisition failure recorded in source_acquisition_log,Use source_registry download_url and source_acquisition_log failure note to retry with a browser or institutional network,metadata_only_until_acquired_and_terms_verified,Do not redistribute any DGO archive content until acquired and terms reviewed.
