"source_id","page","table_title","row_label","column_label","original_text","parsed_value","unit","extraction_method","validation_method","qa_tier","secondary_check","parsing_warning","status","notes"
"DGO_CGE_2011","159","Quadro 82 - Saldo Global do Subsetor dos SFA","CGA","Saldo Global 2011","CGA 186.2","186.2","EUR_million","pdftotext manual line extraction","checked against balance decomposition","high_impact","independent_cross_check_documented","none","reconciled","Line 8530 in extracted text"
"DGO_CGE_2011","159","Quadro 82 - Saldo Global do Subsetor dos SFA","Fundo de Pensões da PT","Saldo Global 2011","Fundo de Pensoes da PT 476.7","476.7","EUR_million","pdftotext manual line extraction","checked against balance decomposition","high_impact","independent_cross_check_documented","none","reconciled","Line 8522 in extracted text"
"DGO_CGE_2011","159","Quadro 82 - Saldo Global do Subsetor dos SFA","CGA sem Fundo de Pensões da PT","Saldo Global 2011","CGA sem Fundo de Pensoes da PT -290.6","-290.6","EUR_million","pdftotext manual line extraction","checked against balance decomposition","high_impact","independent_cross_check_documented","none","reconciled_rounding","Line 8531 in extracted text"
"DGO_CGE_2011","93","Dotacao provisional narrative","CGA additional transfer","2nd amendment OE 2011","transferencia adicional de 172.6 MEUR para a Caixa Geral de Aposentacoes","172.6","EUR_million","pdftotext manual line extraction","cross-checked against page 168 narrative","routine","not_required","none","extracted","Lines 5272 and 9007 in extracted text"
"DR_DL127_2011","official detail page","Decreto-Lei n.º 127/2011","Artigo 6.º n.º 1 alínea a","Taxa de desconto","Taxa de desconto 4 %","0.04","rate","official HTML article extraction","validated by registry numeric check","routine","not_required","none","extracted","DL127 raw PDF endpoint remains unresolved"
"DR_DL127_2011","official detail page","Decreto-Lei n.º 127/2011","Artigo 6.º n.º 4","Public debt asset limit","ate 50 % do valor dos activos a transmitir","0.50","share_of_assets","official HTML article extraction","validated by registry numeric check","routine","not_required","none","extracted","DL127 raw PDF endpoint remains unresolved"
"DR_DL127_2011","official detail page","Decreto-Lei n.º 127/2011","Artigo 6.º n.º 5 alínea a","Initial transfer schedule","pelo menos 55 % do valor actual provisorio","0.55","share_of_provisional_value","official HTML article extraction","validated by registry numeric check","routine","not_required","none","extracted","DL127 raw PDF endpoint remains unresolved"
"DR_DL127_2011","official detail page","Decreto-Lei n.º 127/2011","Anexo","Participating institutions","18 institutions listed in annex","18","count","official HTML annex extraction","validated by registry institution count","routine","not_required","none","extracted","DL127 raw PDF endpoint remains unresolved"
"DGO_CGE_2011","I","Execução 2011 extraordinary measures","Transferência do Fundo de Pensões dos Bancários","Milhões euros","Transferencia do Fundo de Pensoes dos Bancarios 5993.2","5993.2","EUR_million","pdftotext manual line extraction","cross-checked against page 58 narrative","high_impact","independent_cross_check_documented","none","extracted","Lines 547 and 3576 in extracted text"
"DGO_CGE_2011","84","State revenue narrative","credit-institution pension-fund asset title transfer","2011 recorded amount","patrimonio dos fundos de pensoes das instituicoes de credito 3263.1 MEUR","3263.1","EUR_million","pdftotext manual line extraction","cross-checked against page 112 narrative","high_impact","independent_cross_check_documented","none","extracted","Lines 4765 4958 and 6253 in extracted text"
