effective_from,effective_to,employer_class,worker_rate_retirement,worker_rate_survivor,worker_rate_total,employer_rate_retirement,employer_rate_survivor,employer_rate_total,contribution_base_definition,covered_risks,source_id,article,status,notes
2006-01-01,2008-12-31,central_state_integrated_services,0.075,0.025,0.100,0.000,0.000,0.000,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_255_2020,EA article 6 and TC 255/2020 section 4.3,verified_official_judicial_summary,Central state services not in earlier employer-contribution cohorts; do not back-project RGSS employer rate
2009-01-01,2009-12-31,central_state_integrated_services,0.075,0.025,0.100,0.0375,0.0375,0.075,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_255_2020,LOE 2009 article 41; EA article 6-A,verified_official_judicial_summary,Article 6-A broadened employer contributions to all entities; central services treated as newly covered in 2009
2010-01-01,2010-12-31,central_state_integrated_services,0.075,0.025,0.100,0.1125,0.0375,0.150,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_255_2020,LOE 2010 article 29; EA article 6-A,verified_official_judicial_summary,Employer rate fixed as a single 15 percent rate split 11.25 percent retirement and 3.75 percent survivor
2011-01-01,2012-12-31,central_state_integrated_services,0.080,0.030,0.110,0.1125,0.0375,0.150,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_362_2016,DL 137/2010 article 7; EA article 6-A,verified_official_judicial_summary,Worker quota rose to 11 percent from 2011; employer rate remained 15 percent
2013-01-01,2013-12-31,central_state_integrated_services,0.080,0.030,0.110,0.1625,0.0375,0.200,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_255_2020,LOE 2013 article 79; EA article 6-A,verified_official_judicial_summary,Employer total rose to 20 percent; retirement component recorded as residual after 3.75 percent survivor component
2014-01-01,,central_state_integrated_services,0.080,0.030,0.110,0.2000,0.0375,0.2375,remuneration subject to CGA quota,retirement;survivor,DR_EA_CONSOLIDATED,EA article 6-A,current_consolidated_rule,Current article 6-A employer total is 23.75 percent; retirement component recorded as residual after 3.75 percent survivor component
2006-01-01,2006-12-31,entities_already_contributing_before_2007,0.075,0.025,0.100,0.0975,0.0325,0.130,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_255_2020,LOE 2006 article 20,verified_official_judicial_summary,Employer contribution for entities already obliged to contribute before 2007
2007-01-01,2010-12-31,entities_already_contributing_before_2007,0.075,0.025,0.100,0.1125,0.0375,0.150,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_255_2020,LOE 2007 article 19; LOE 2010 article 29,verified_official_judicial_summary,Employer rate fixed at 15 percent for entities already obliged to contribute
2011-01-01,2012-12-31,entities_already_contributing_before_2007,0.080,0.030,0.110,0.1125,0.0375,0.150,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_362_2016,DL 137/2010 article 7; EA article 6-A,verified_official_judicial_summary,Worker quota rose to 11 percent from 2011; employer rate remained 15 percent
2013-01-01,2013-12-31,entities_already_contributing_before_2007,0.080,0.030,0.110,0.1625,0.0375,0.200,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_255_2020,LOE 2013 article 79; EA article 6-A,verified_official_judicial_summary,Employer total rose to 20 percent; retirement component recorded as residual after 3.75 percent survivor component
2014-01-01,,entities_already_contributing_before_2007,0.080,0.030,0.110,0.2000,0.0375,0.2375,remuneration subject to CGA quota,retirement;survivor,DR_EA_CONSOLIDATED,EA article 6-A,current_consolidated_rule,Current article 6-A employer total is 23.75 percent; retirement component recorded as residual after 3.75 percent survivor component
2007-01-01,2007-12-31,autonomous_entities_first_covered_2007,0.075,0.025,0.100,0.0375,0.0375,0.075,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_255_2020,LOE 2007 article 19,verified_official_judicial_summary,Universities polytechnics and other autonomous entities first covered in 2007
2008-01-01,2010-12-31,autonomous_entities_first_covered_2007,0.075,0.025,0.100,0.0725,0.0375,0.110,remuneration subject to CGA quota,retirement;survivor,TC_ACORDAO_255_2020,LOE 2008 article 18; LOE 2009 article 41,verified_official_judicial_summary,Rate for entities that initiated the obligation in the prior year rose to 11 percent and remained distinct before the 2010 unified 15 percent rate; direct article extraction remains required
