"source_id","attempted_url","retrieval_date","raw_path","sha256","status","notes"
"DR_DL127_2011","https://diariodarepublica.pt/dr/detalhe/decreto-lei/127-2011-413399","2026-08-21","","","shell_html_not_evidence","Registered URL returned a generic OutSystems HTML shell rather than citable source text."
"DR_LEI60_2005","https://diariodarepublica.pt/dr/detalhe/lei/60-2005-469066","2026-08-21","","","shell_html_not_evidence","Registered URL returned a generic OutSystems HTML shell rather than citable source text."
"DR_EA_CONSOLIDATED","https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1972-34576175","2026-08-21","","","shell_html_not_evidence","Registered URL returned a generic OutSystems HTML shell rather than citable source text."
"TC_ACORDAO_255_2020","https://www.tribunalconstitucional.pt/tc/acordaos/20200255.html?impressao=1","2026-08-21","data/raw/source_catalogues/TC_ACORDAO_255_2020.html","a725d048191d8fc1c35d660fb1519dbf06a99dbceda16c24f27c758e80d2a0b2","acquired","Downloaded registered URL, normalized stored HTML line endings to LF, and computed SHA-256."
"TC_ACORDAO_362_2016","https://www.tribunalconstitucional.pt/tc/acordaos/20160362.html","2026-08-21","data/raw/source_catalogues/TC_ACORDAO_362_2016.html","12243736eec3d26b7f7cbed61a1849bd2327218580e1f7d26b4ab45718702211","acquired","Downloaded registered URL, normalized stored HTML line endings to LF, and computed SHA-256."
"CGA_ORGANIC_2012","https://www.cga.pt/documents/d/asset-library-43545/decreto-lei-n-131-2012","2026-08-21","data/raw/source_catalogues/CGA_ORGANIC_2012.html","51e817fc1d6d339a4f63a78271425a93f019089b095e88f1957712d8c4e22524","acquired","Downloaded registered URL and computed SHA-256."
"TC_PCGE_2024","https://diariodarepublica.pt/dr/detalhe/parecer/1-2026-1020447694","2026-08-21","","","shell_html_not_evidence","Registered URL returned a generic OutSystems HTML shell rather than citable source text."
"DGO_CGE_ARCHIVE","https://www.dgo.gov.pt/politicaorcamental/Paginas/Conta-Geral-do-Estado.aspx?Ano=2024","2026-08-28","data/raw/source_catalogues/DGO_CGE_ARCHIVE.html","ad07c248aed59e6975d3537a8d6d90706bc058ac710ddf8a9a65523039e32ed4","acquired","Downloaded official DGO CGE archive page with curl certificate fallback and computed SHA-256."
"DGO_OE_ARCHIVE","https://www.dgo.gov.pt/politicaorcamental/Paginas/OrcamentosEstado.aspx","2026-08-28","data/raw/source_catalogues/DGO_OE_ARCHIVE.html","defeafa77854787d9bcfbab94e531626c35dd826466391d5ec2d108f94c3c5aa","acquired","Downloaded official DGO State Budget archive page with curl certificate fallback and computed SHA-256."
"CGA_ANNUAL_REPORTS_ARCHIVE","https://www.cga.pt/relatorios-anuais","2026-08-21","data/raw/source_catalogues/CGA_ANNUAL_REPORTS_ARCHIVE.html","b8c5dc1d40a8b0e95d4f62607eafacb6f02e1aa26fff437fc9a5f6253d68fd3b","acquired","Downloaded registered URL, normalized stored HTML line endings to LF, and computed SHA-256."
"CGA_REPORT_2024","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-2024","2026-08-23","data/raw/cga/CGA_REPORT_2024.pdf","9c32c61e76beb3d2d165408f1fa8c3135df1dfd7a4f908c9a932424e6a67f8b6","acquired","Downloaded official CGA 2024 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2023","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2023","2026-08-23","data/raw/cga/CGA_REPORT_2023.pdf","85fbb2cce0614a498b653c8d1b3bdf8aedb8b62f025d5f75d5016b832df6a780","acquired","Downloaded official CGA 2023 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2022","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2022","2026-08-23","data/raw/cga/CGA_REPORT_2022.pdf","1b0534dc566554e5552ced83edd98b4667ce07f08382030e7d13ed1d35dbe21f","acquired","Downloaded official CGA 2022 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2021","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2021","2026-08-23","data/raw/cga/CGA_REPORT_2021.pdf","2eb34ec9f3f8395b835bbab972609595973d81d7cb472d054bcd6d11a3d5adb4","acquired","Downloaded official CGA 2021 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2020","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2020","2026-08-23","data/raw/cga/CGA_REPORT_2020.pdf","c2f38f94562b435d53445f32160eee3f8bfab8cb405c6b7e164a769ae9b588ca","acquired","Downloaded official CGA 2020 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2019","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2019","2026-08-23","data/raw/cga/CGA_REPORT_2019.pdf","d1cddb2be48ee7b2e68d0fab5fdda4cbefaa6ffd4558124177e922b9aad4ef26","acquired","Downloaded official CGA 2019 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2018","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2018","2026-08-23","data/raw/cga/CGA_REPORT_2018.pdf","2220e00ffa8f293295437fd63fdc6ac17fb86444f08e22ff1727904d0a97043f","acquired","Downloaded official CGA 2018 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2017","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2017","2026-08-23","data/raw/cga/CGA_REPORT_2017.pdf","aa2faf17a9ca2f44b1c9777ddf94e2d722104ddff9174d6c14e5e6350a307567","acquired","Downloaded official CGA 2017 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2016","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2016","2026-08-23","data/raw/cga/CGA_REPORT_2016.pdf","94d6e123a50563c28aaaec20a6044a79d2d5c6b55cd916d2f2d44b49354dfbf3","acquired","Downloaded official CGA 2016 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2015","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2015","2026-08-23","data/raw/cga/CGA_REPORT_2015.pdf","e2e78ab9600edc5cb7c33bfcab60515f573c81dedb1f4a271547fa2453d14382","acquired","Downloaded official CGA 2015 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2014","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2014","2026-08-23","data/raw/cga/CGA_REPORT_2014.pdf","9b900d2d4cfd0dfd474b82b3548d4d5d340de6d951f2824ad1a37dca7b2b4aef","acquired","Downloaded official CGA 2014 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2013","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2013","2026-08-23","data/raw/cga/CGA_REPORT_2013.pdf","b5a598dfd651cd7f2e1df7beae5a924ef8c4bad71a8785960244da2c7c6751f1","acquired","Downloaded official CGA 2013 annual report PDF from the CGA annual reports portal and computed SHA-256."
"CGA_REPORT_2012","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2012","2026-08-23","data/raw/cga/CGA_REPORT_2012.pdf","2d5128f40218888edb429a0d5245f8e54550a5d3923daa6356a1b8b4e1170306","acquired","Downloaded official CGA 2012 annual report PDF from the CGA annual reports portal and computed SHA-256."
